,band id,O2_compiled,COF2_Compiled,PH3_compiled,H2CO_Compiled,CO_Compiled,NO_Compiled,OCS_compiled,CH4_Compiled,CIO_complied,CH3OH_Compiled,CH3Cl_Compiled,NO2_compiled,HF-Compiled,OH_Compiled,C2H2_compiled,HBr_compiled,HCOOH_Compiled,SO2_compiled,CO2_compiled,HOCI_Compiled,O_compiled,H2S_compiled,C2H4_Compiled,NH3_compiled,N2O_compile,O3_compiled,H2O2_compiled,HCN_Compiled,HCI_Compiled,CH3CN_Compiled,HOBr_Compiled,N2_Compiled,H2O_compiled,C2H6_compiled,Hi_Compiled
0,NIR-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6136886812985048e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,NIR-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5164647167519646e-06,1.6574224689110519e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2340987070096762e-06,0.0,0.0
2,SWIR-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,SWIR-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.241055129897228e-05,0.0,1.752964447133548e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0284558943910197e-06
4,SWIR-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.494593907921205e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.344870926989103e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,SWIR-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.65572522243025e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011875622562769552,0.0,0.0,0.0,0.0,0.0,0.0
6,SWIR-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.565297471046676e-05,0.0,0.0,0.0,0.0,0.0,0.0,3.046107894445449e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5318411547839455e-05,1.797227148725371e-05,2.1329381002542756e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,SWIR-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001122115996724708,0.0,0.0,0.0,0.0,0.0,0.0,4.164185413110649e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005765808799391248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,SWIR-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004140438911015643,0.0,0.0,0.0,0.0,0.0,0.0,1.9224556623911316e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007363867327561057,0.00015633476537830595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.165274945219079e-05
9,SWIR-8,0.0,0.0,0.0,0.0,0.000107922968459946,0.0,0.0,0.0006512328941500035,0.0,0.0,0.0,0.0,8.043031433939378e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00041187626751786147,2.673601651495126e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1464376435875386e-06
